Name,Location,Date_established,Year_Established,Description
Hawai?i Volcanoes ,Hawaii,1-Aug-16,1916,This park on the Big Island protects the K?lauea and Mauna Loa volcanoes two of the world's most active geological features. Diverse ecosystems range from tropical forests at sea level to barren lava beds at more than 13000 feet (4000 m).[65] (WHS)[66] (BR)[64]
Lassen Volcanic,California,9-Aug-16,1916,Lassen Peak the largest lava dome volcano in the world is joined by all three other types of volcanoes in this park: shield cinder cone and composite. Though Lassen itself last erupted in 1915 most of the rest of the park is continuously active. Numerous hydrothermal features including fumaroles boiling pools and bubbling mud pots are heated by molten rock from beneath the peak.[82]
Denali ,Alaska,26-Feb-17,1917,Centered on Denali the tallest and highest prominence mountain in North America Denali is serviced by a single road leading to Wonder Lake. Denali and other peaks of the Alaska Range are covered with long glaciers and boreal forest. Wildlife includes grizzly bears Dall sheep Porcupine caribou and wolves.[38] (BR)[39]
Acadia,Maine,26-Feb-19,1919,Covering most of Mount Desert Island and other coastal islands Acadia features the tallest mountain on the Atlantic coast of the United States granite peaks ocean shoreline woodlands and lakes. There are freshwater estuary forest and intertidal habitats.[12][13]
Grand Canyon *,Arizona,26-Feb-19,1919,The Grand Canyon carved by the mighty Colorado River is 277 miles (446 km) long up to 1 mile (1.6 km) deep and up to 15 miles (24 km) wide. Millions of years of erosion have exposed the multicolored layers of the Colorado Plateau in mesas and canyon walls visible from both the north and south rims or from a number of trails that descend into the canyon itself.[54] (WHS)[55]
Zion,Utah,19-Nov-19,1919,Located at the junction of the Colorado Plateau Great Basin and Mojave Desert this park contains sandstone features such as mesas rock towers and canyons including the Virgin River Narrows. The various sandstone formations and the forks of the Virgin River create a wilderness divided into four ecosystems: desert riparian woodland and coniferous forest.[117]
Hot Springs,Arkansas,4-Mar-21,1921,Hot Springs was established as a federal reserve by Congress on April 20 1832—the oldest area managed by the National Park Service. Congress redesignated Hot Springs as a national park on March 4 1921. Natural hot springs flow out of the Ouachita Mountains providing opportunities for relaxation in a historic setting. Bathhouse Row preserves numerous examples of 19th-century architecture.[67] Hot Springs is the first national park in a city and was the smallest national park until February 22 2018 when the Jefferson National Expansion Memorial was redesignated Gateway Arch National Park.[68]
Bryce Canyon,Utah,25-Feb-28,1928,Bryce Canyon is a geological amphitheater on the Paunsaugunt Plateau with hundreds of tall multicolored sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.[23]
Grand Teton ,Wyoming,26-Feb-29,1929,Grand Teton is the tallest mountain in the Teton Range. The park's historic Jackson Hole and reflective piedmont lakes teem with endemic wildlife with a backdrop of craggy mountains that rise abruptly from the sage-covered valley.[56] (BR)[4]
Carlsbad Caverns *,New Mexico,14-May-30,1930,Carlsbad Caverns has 117 caves the longest of which is over 120 miles (190 km) long. The Big Room is almost 4000 feet (1200 m) long and the caves are home to over 400000 Mexican free-tailed bats and sixteen other species. Above ground are the Chihuahuan Desert and Rattlesnake Springs.[26] (WHS)[27]
Everglades ,Florida,30-May-34,1934,The Everglades are the largest tropical wilderness in the United States. This mangrove and tropical rainforest ecosystem and marine estuary is home to 36 protected species including the Florida panther American crocodile and West Indian manatee. Some areas have been drained and developed; restoration projects aim to restore the ecology.[42] (WHS)[43] (BR)[41]
Great Smoky Mountains ,Tennessee North Carolina,15-Jun-34,1934,The Great Smoky Mountains part of the Appalachian Mountains span a wide range of elevations making them home to over 400 vertebrate species 100 tree species and 5000 plant species. Hiking is the park's main attraction with over 800 miles (1300 km) of trails including 70 miles (110 km) of the Appalachian Trail. Other activities include fishing horseback riding and touring nearly 80 historic structures.[59] (WHS)[60] (BR)[61]
Shenandoah,Virginia,26-Dec-35,1935,Shenandoah's Blue Ridge Mountains are covered by hardwood forests that teem with a wide variety of wildlife. The Skyline Drive and Appalachian Trail run the entire length of this narrow park along with more than 500 miles (800 km) of hiking trails passing scenic overlooks and cataracts of the Shenandoah River.[103]
Olympic ,Washington,29-Jun-38,1938,Situated on the Olympic Peninsula this park includes a wide range of ecosystems from Pacific shoreline to temperate rainforests to the alpine slopes of the Olympic Mountains the tallest of which is Mount Olympus. The Hoh Rainforest and Quinault Rainforest are the wettest area in the contiguous United States with the Hoh receiving an average of almost 12 ft (3.7 m) of rain every year.[91][92] (WHS)[93] (BR)[94]
Isle Royale ,Michigan,3-Apr-40,1940,The largest island in Lake Superior is a place of isolation and wilderness. Along with its many shipwrecks waterways and hiking trails the park also includes over 400 smaller islands within 4.5 miles (7.2 km) of its shores. There are only 20 mammal species on the entire island though the relationship between its wolf and moose populations is especially unique.[70] (BR)[71]
Kings Canyon ,California,4-Mar-40,1940,Home to several giant sequoia groves and the General Grant Tree the world's second largest measured tree this park also features part of the Kings River sculptor of the dramatic granite canyon that is its namesake and the San Joaquin River as well as Boyden Cave.[75] Although Kings Canyon National Park was designated as such in 1940 it subsumed General Grant National Park which had been established on October 1 1890 as the United States' fourth national park.[76][77][78](BR)[79]
Mammoth Cave ,Kentucky,1-Jul-41,1941,With more than 400 miles (640 km) of passageways explored Mammoth Cave is the world's longest known cave system. Subterranean wildlife includes eight bat species Kentucky cave shrimp Northern cavefish and cave salamanders. Above ground the park provides recreation on the Green River 70 miles of hiking trails and plenty of sinkholes and springs.[83] (WHS)[84] (BR)[85]
Big Bend ,Texas,12-Jun-44,1944,Named for the prominent bend in the Rio Grande along the U.S.–Mexico border this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders.[19] (BR)[20]
Virgin Islands,United States Virgin Islands,2-Aug-56,1956,This island park on Saint John preserves Taíno archaeological sites and the ruins of sugar plantations from Columbus's time as well as all the natural environs. Surrounding the pristine beaches are mangrove forests seagrass beds and coral reefs.[105]
Petrified Forest,Arizona,9-Dec-62,1962,This portion of the Chinle Formation has a large concentration of 225-million-year-old petrified wood. The surrounding Painted Desert features eroded cliffs of red-hued volcanic rock called bentonite. Dinosaur fossils and over 350 Native American sites are also protected in this park.[95]
Canyonlands,Utah,12-Sep-64,1964,This landscape was eroded into a maze of canyons buttes and mesas by the combined efforts of the Colorado River Green River and their tributaries which divide the park into three districts. The park also contains rock pinnacles and arches as well as artifacts from Ancient Pueblo peoples.[24]
Guadalupe Mountains,Texas,15-Oct-66,1966,This park contains Guadalupe Peak the highest point in Texas as well as the scenic McKittrick Canyon filled with bigtooth maples a corner of the arid Chihuahuan Desert and a fossilized coral reef from the Permian era.[62]
North Cascades,Washington,2-Oct-68,1968,This complex includes two geographically distinct units of the national park as well as Ross Lake and Lake Chelan National Recreation Areas. The highly glaciated mountains are spectacular examples of Cascade geology. Popular hiking and climbing areas include Cascade Pass Mount Shuksan Mount Triumph and Eldorado Peak.[90]
Redwood *,California,2-Oct-68,1968,This park and the co-managed state parks protect almost half of all remaining coastal redwoods the tallest trees on earth. There are three large river systems in this very seismically active area and 37 miles (60 km) of protected coastline reveal tide pools and seastacks. The prairie estuary coast river and forest ecosystems contain a wide variety of animal and plant species.[97] (WHS)[98]
Arches,Utah,12-Nov-71,1971,This site features more than 2000 natural sandstone arches with some of the most popular arches in the park being Delicate Arch Landscape Arch and Double Arch.[15] Millions of years of erosion have created these structures located in a desert climate where the arid ground has life-sustaining biological soil crusts and potholes that serve as natural water-collecting basins. Other geologic formations include stone pinnacles fins and balancing rocks.[16]
Capitol Reef,Utah,18-Dec-71,1971,The park's Waterpocket Fold is a 100-mile (160 km) monocline that exhibits the earth's diverse geologic layers. Other natural features include monoliths cliffs and sandstone domes shaped like the United States Capitol.[25]
Voyageurs,Minnesota,8-Jan-71,1971,This park protecting four lakes near the Canada–US border is a site for canoeing kayaking and fishing. The park also preserves a history populated by Ojibwe Native Americans French fur traders called voyageurs and gold miners. Formed by glaciers the region features tall bluffs rock gardens islands bays and several historic buildings.[106]
Badlands,South Dakota,10-Nov-78,1978,The Badlands are a collection of buttes pinnacles spires and mixed-grass prairies. The White River Badlands contain the largest assemblage of known late Eocene and Oligocene mammal fossils.[17] The wildlife includes bison bighorn sheep black-footed ferrets and prairie dogs.[18]
Theodore Roosevelt,North Dakota,10-Nov-78,1978,This region that enticed and influenced President Theodore Roosevelt consists of a park of three units in the northern badlands. Besides Roosevelt's historic cabin there are numerous scenic drives and backcountry hiking opportunities. Wildlife includes American bison pronghorn bighorn sheep and wild horses.[104]
Biscayne,Florida,28-Jun-80,1980,Located in Biscayne Bay this park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest the Bay the Keys and coral reefs. Threatened animals include the West Indian manatee American crocodile various sea turtles and peregrine falcon.[21]
Channel Islands ,California,5-Mar-80,1980,Five of the eight Channel Islands are protected and half of the park's area is underwater. The islands have a unique Mediterranean ecosystem originally settled by the Chumash people. They are home to over 2000 species of land plants and animals and 145 are unique to them including the island fox. Ferry services offer transportation to the islands from the mainland.[28] (BR)[29]
Gates of the Arctic,Alaska,2-Dec-80,1980,The country's northernmost park protects an expanse of pure wilderness in Alaska's Brooks Range and has no park facilities. The land is home to Alaska Natives who have relied on the land and caribou for 11000 years.[44]
Glacier Bay ,Alaska,2-Dec-80,1980,Glacier Bay contains tidewater glaciers mountains fjords and a temperate rainforest and is home to large populations of grizzly bears mountain goats whales seals and eagles. When discovered in 1794 by George Vancouver the entire bay was covered by ice but the glaciers have since receded more than 65 miles (105 km).[51] (WHS)[52] (BR)[53]
Katmai,Alaska,2-Dec-80,1980,This park on the Alaska Peninsula protects the Valley of Ten Thousand Smokes an ash flow formed by the 1912 eruption of Novarupta as well as Mount Katmai. Over 2000 grizzly bears come here each year to catch spawning salmon. Other wildlife includes caribou wolves moose and wolverines.[73]
Kenai Fjords,Alaska,2-Dec-80,1980,Near Seward on the Kenai Peninsula this park protects the Harding Icefield and at least 38 glaciers and fjords stemming from it. The only area accessible to the public by road is Exit Glacier; the rest must be viewed or reached from boat tours.[74]
Kobuk Valley,Alaska,2-Dec-80,1980,Kobuk Valley protects 61 miles (98 km) of the Kobuk River and three regions of sand dunes. Created by glaciers the Great Kobuk Little Kobuk and Hunt River Sand Dunes can reach 100 feet (30 m) high and 100 °F (38 °C) and they are the largest dunes in the Arctic. Twice a year half a million caribou migrate through the dunes and across river bluffs that expose well-preserved ice age fossils.[80]
Lake Clark,Alaska,2-Dec-80,1980,The region around Lake Clark features four active volcanoes including Mount Redoubt as well as an abundance of rivers glaciers and waterfalls. Temperate rainforests a tundra plateau and three mountain ranges complete the landscape.[81]
Wrangell–St. Elias *,Alaska,2-Dec-80,1980,An over 8 million acres (32375 km2) plot of mountainous country—the largest national park in the system—protects the convergence of the Alaska Chugach and Wrangell-Saint Elias Ranges which include many of the continent's tallest mountains and volcanoes including the 18008-foot Mount Saint Elias. More than a quarter of the park is covered with glaciers including the tidewater Hubbard Glacier piedmont Malaspina Glacier and valley Nabesna Glacier.[111] (WHS)[52]
Great Basin,Nevada,27-Oct-86,1986,Based around Nevada's second tallest mountain Wheeler Peak Great Basin National Park contains 5000-year-old bristlecone pines a rock glacier and the limestone Lehman Caves. Due to its remote location the park has some of the country's darkest night skies. Wildlife includes the Townsend's big-eared bat pronghorn and Bonneville cutthroat trout.[57]
American Samoa,American Samoa,31-Oct-88,1988,The southernmost national park is on three Samoan islands and protects coral reefs rainforests volcanic mountains and white beaches. The area is also home to flying foxes brown boobies sea turtles and 900 species of fish.[14]
Dry Tortugas ,Florida,26-Oct-92,1992,The islands of the Dry Tortugas at the westernmost end of the Florida Keys are the site of Fort Jefferson a Civil War-era fort that is the largest masonry structure in the Western Hemisphere. The park is home to undisturbed coral reefs and shipwrecks and is only accessible by plane or boat.[40] (BR)[41]
Death Valley ,California Nevada,31-Oct-94,1994,Death Valley is the hottest lowest and driest place in the United States with daytime temperatures that have exceeded 130 °F (54 °C). The park protects Badwater Basin and its vast salt flats located at the lowest elevation in North America ?282 ft (?86 m).[35] The park also protects canyons badlands sand dunes mountain ranges historic mines springs and more than 1000 species of plants which grow in this geologic graben.[36] (BR)[37]
Joshua Tree ,California,31-Oct-94,1994,Covering large areas of the Colorado and Mojave Deserts and the Little San Bernardino Mountains this desert landscape is populated by vast stands of Joshua trees. Large changes in elevation reveal various contrasting environments including bleached sand dunes dry lakes rugged mountains and maze-like clusters of monzogranite monoliths.[72] (BR)[37]
Saguaro,Arizona,14-Oct-94,1994,Split into the separate Rincon Mountain and Tucson Mountain districts this park is evidence that the dry Sonoran Desert is still home to a great variety of life spanning six biotic communities. Beyond the namesake giant saguaro cacti there are barrel cacti chollas and prickly pears as well as lesser long-nosed bats spotted owls and javelinas.[101]
Black Canyon of the Gunnison,Colorado,21-Oct-99,1999,The park protects a quarter of the Gunnison River which slices sheer canyon walls from dark Precambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America and is a popular site for river rafting and rock climbing. The deep narrow canyon is composed of gneiss and schist which appears black when in shadow.[22]
Cuyahoga Valley,Ohio,11-Oct-00,2000,This park along the Cuyahoga River has waterfalls hills trails and exhibits on early rural living. The Ohio and Erie Canal Towpath Trail follows the Ohio and Erie Canal where mules towed canal boats. The park has numerous historic homes bridges and structures[33] and also offers a scenic train ride.[34]
Congaree ,South Carolina,10-Nov-03,2003,On the Congaree River this park is the largest portion of old-growth floodplain forest left in North America. Some of the trees are the tallest in the eastern United States. An elevated walkway called the Boardwalk Loop guides visitors through the swamp.[30] (BR)[31]
Great Sand Dunes,Colorado,13-Sep-04,2004,The tallest sand dunes in North America up to 750 feet (230 m) tall were formed by deposits of the ancient Rio Grande in the San Luis Valley. Abutting a variety of grasslands shrublands and wetlands the park also has alpine lakes six 13000-foot mountains and old-growth forests.[58]
Pinnacles,California,10-Jan-13,2013,Named for the eroded leftovers of a portion of an extinct volcano the park's massive black and gold monoliths of andesite and rhyolite are a popular destination for rock climbers. Hikers have access to trails crossing the Coast Range wilderness. The park is home to the endangered California condor (Gymnogyps californianus) and one of the few locations in the world where these extremely rare birds can be seen in the wild. Pinnacles also supports a dense population of prairie falcons and more than 13 species of bat which populate its talus caves.[96]
Gateway Arch,Missouri,22-Feb-18,2018,The Gateway Arch is a 630-foot (192 m) (both high and wide) catenary arch built to commemorate the Lewis and Clark Expedition initiated by Thomas Jefferson and the subsequent westward expansion of the country. The nearby Old Courthouse across a greenway to the west of the arch was the first site of the Dred Scott case about slavery. A museum located in the underground visitor center below the arch describes the arch's construction and the country's westward expansion.[46]
Indiana Dunes,Indiana,15-Feb-19,2019,Previously designated a national lakeshore the dunes run for nearly 25 miles (40 km) along the southern shore of Lake Michigan. The sandy beach adjoins a grassy prairie bog and wetlands home to over 2000 species.[69]
White Sands,New Mexico,20-Dec-19,2019,Located in the mountain-ringed Tularosa Basin White Sands consists of the southern part of a 275-square-mile (710 km2) field of white sand dunes composed of gypsum crystals—the world's largest gypsum dunefield. The park is completely within the White Sands Missile Range and is subject to closure when tests are conducted.[108]
